Rank,City_Name,2020_Population,2010_Population,Change,Density
115,Upland,"77,810","73,886",5.31%,"1,924"
116,Rancho Cordova,"77,055","65,070",18.42%,850
117,Bellflower,"76,627","76,613",0.02%,"4,835"
118,San Ramon,"75,945","71,597",6.07%,"1,569"
119,Baldwin Park,"75,267","75,425",-0.21%,"4,382"
120,Turlock,"74,892","68,760",8.92%,"1,709"
121,Pittsburg,"74,769","63,520",17.71%,"1,637"
122,Apple Valley,"74,724","69,309",7.81%,385
123,Union City,"73,949","69,631",6.20%,"1,472"
124,Lake Elsinore,"72,701","53,629",35.56%,734
125,Redlands,"72,226","68,809",4.97%,778
126,Rocklin,"71,365","57,473",24.17%,"1,391"
127,Davis,"70,827","65,586",7.99%,"2,766"
128,Walnut Creek,"70,569","64,323",9.71%,"1,379"
129,Lynwood,"69,916","69,601",0.45%,"5,577"
130,Camarillo,"69,685","65,258",6.78%,"1,367"
131,Lodi,"69,235","62,268",11.19%,"1,960"
132,Eastvale,"68,390","54,073",26.48%,"2,084"
133,Laguna Niguel,"68,008","63,117",7.75%,"1,781"
134,Yuba City,"67,790","65,633",3.29%,"1,757"
135,South San Francisco,"67,585","63,740",6.03%,"2,829"
136,Yorba Linda,"67,513","64,394",4.84%,"1,314"
137,Madera,"67,456","61,511",9.66%,"1,595"
138,Brentwood,"67,144","51,811",29.59%,"1,745"
139,Redondo Beach,"66,820","66,929",-0.16%,"4,163"
140,Tulare,"66,393","59,438",11.70%,"1,258"
141,Palo Alto,"66,292","64,545",2.71%,"1,073"
142,Dublin,"65,801","45,900",43.36%,"1,668"
143,Santa Cruz,"65,541","60,581",8.19%,"1,986"
144,Carmichael,"64,785","61,762",4.89%,"1,860"
145,San Clemente,"64,431","63,586",1.33%,"1,355"
146,Florence-Graham,"64,162","63,387",1.22%,"7,059"
147,La Habra,"63,375","60,357",5.00%,"3,327"
148,Castro Valley,"63,288","61,388",3.10%,"1,473"
149,Gilroy,"63,096","49,013",28.73%,"1,473"
150,Encinitas,"62,826","59,675",5.28%,"1,273"
151,Petaluma,"62,361","58,008",7.50%,"1,670"
152,Pico Rivera,"62,286","62,953",-1.06%,"2,899"
153,Woodland,"62,173","55,617",11.79%,"1,568"
154,Montebello,"62,012","62,495",-0.77%,"2,874"
155,National City,"61,653","58,626",5.16%,"3,264"
156,South Whittier,"60,096","57,156",5.14%,"4,348"
157,Monterey Park,"60,079","60,222",-0.24%,"3,023"
158,Porterville,"60,070","58,254",3.12%,"1,246"
159,Gardena,"59,713","58,837",1.49%,"3,955"
160,Cupertino,"59,502","58,703",1.36%,"2,031"
161,La Mesa,"59,500","57,146",4.12%,"2,526"
162,Arcadia,"58,888","56,348",4.51%,"2,081"
163,San Rafael,"58,428","57,796",1.09%,"1,362"
164,Santee,"58,407","53,642",8.88%,"1,364"
165,Hanford,"58,280","54,399",7.13%,"1,293"
166,Huntington Park,"57,723","58,115",-0.67%,"7,398"
167,Highland,"56,298","53,214",5.80%,"1,159"
168,Cathedral City,"55,826","51,476",8.45%,959
169,Diamond Bar,"55,785","55,572",0.38%,"1,448"
170,Novato,"55,191","51,974",6.19%,776
171,Colton,"55,079","52,265",5.38%,"1,368"
172,Fountain Valley,"55,064","55,472",-0.74%,"2,344"
173,Hacienda Heights,"54,970","54,038",1.72%,"1,899"
174,Palm Desert,"54,597","48,685",12.14%,786
175,West Sacramento,"54,483","48,847",11.54%,980
176,Yucaipa,"54,302","51,476",5.49%,741
177,Rosemead,"54,186","53,798",0.72%,"4,053"
178,Watsonville,"54,178","51,271",5.67%,"3,128"
179,Paramount,"54,039","54,107",-0.13%,"4,412"
180,Delano,"53,622","53,127",0.93%,"1,449"
181,Beaumont,"52,623","37,253",41.26%,670
182,Glendora,"52,244","50,365",3.73%,"1,034"
183,Aliso Viejo,"52,031","48,227",7.89%,"2,903"
184,Newark,"51,242","42,629",20.20%,"1,426"
185,Placentia,"51,193","50,998",0.38%,"2,989"
186,Cerritos,"51,174","49,052",4.33%,"2,265"
187,Rowland Heights,"50,602","48,993",3.28%,"1,494"
188,San Jacinto,"50,403","44,428",13.45%,757
189,Azusa,"50,192","46,528",7.87%,"2,005"
190,Ceres,"49,533","45,950",7.80%,"2,044"
191,Poway,"49,470","47,954",3.16%,489
192,Palm Springs,"49,291","44,766",10.11%,201
193,Florin,"49,132","47,513",3.41%,"2,180"
194,Lincoln,"49,128","43,101",13.98%,807
195,Cypress,"49,002","47,954",2.19%,"2,861"
196,North Highlands,"48,968","42,694",14.70%,"2,146"
197,La Mirada,"48,219","48,535",-0.65%,"2,380"
198,Rancho Santa Margarita,"47,791","47,920",-0.27%,"1,431"
199,San Luis Obispo,"47,572","45,201",5.25%,"1,378"
200,Covina,"47,527","47,793",-0.56%,"2,611"
201,Antelope,"47,326","45,770",3.40%,"2,673"
202,Coachella,"46,813","40,990",14.21%,601
203,Morgan Hill,"46,171","38,005",21.49%,"1,372"
204,El Dorado Hills,"45,599","42,108",8.29%,363
205,Altadena,"45,146","42,777",5.54%,"2,059"
206,Danville,"44,626","41,971",6.33%,953
207,El Centro,"44,198","42,682",3.55%,"1,483"
208,Rohnert Park,"44,015","40,856",7.73%,"2,427"
209,Oakley,"43,991","35,675",23.31%,"1,071"
210,Brea,"43,967","39,418",11.54%,"1,396"
211,San Bruno,"43,031","41,104",4.69%,"3,035"
212,Campbell,"43,014","40,669",5.77%,"2,734"
213,Los Banos,"42,998","36,072",19.20%,"1,661"
214,La Quinta,"42,329","37,682",12.33%,464
